,time,open,high,low,close,volume,ticker
640,2020-09-22,9590,9630,9540,9540,5109720,POW
641,2020-09-23,9630,9920,9590,9920,12209340,POW
642,2020-09-24,9920,10020,9730,9780,4775560,POW
643,2020-09-25,9820,9820,9630,9680,2824500,POW
644,2020-09-28,9730,9780,9630,9680,4881850,POW
645,2020-09-29,9780,9920,9680,9680,9799620,POW
646,2020-09-30,9680,9870,9680,9780,3394810,POW
647,2020-10-01,9820,9870,9730,9820,5052340,POW
648,2020-10-02,9870,10300,9820,10110,18218010,POW
649,2020-10-05,10350,10490,10250,10400,6133970,POW
650,2020-10-06,10440,10440,10210,10250,6445070,POW
651,2020-10-07,10210,10300,10060,10060,8011390,POW
652,2020-10-08,10160,10160,9970,10020,6586690,POW
653,2020-10-09,10110,10250,10020,10060,4068630,POW
654,2020-10-12,10110,10210,9820,9870,6611940,POW
655,2020-10-13,9920,9920,9780,9780,3308250,POW
656,2020-10-14,9820,9870,9630,9730,8209070,POW
657,2020-10-15,9730,9820,9630,9680,6120520,POW
658,2020-10-16,9730,9970,9630,9820,4795660,POW
659,2020-10-19,9920,9920,9630,9680,6144040,POW
660,2020-10-20,9780,9780,9630,9730,4923960,POW
661,2020-10-21,9730,9780,9680,9680,2587590,POW
662,2020-10-22,9730,9920,9680,9870,6070070,POW
663,2020-10-23,9920,9970,9730,9820,2577600,POW
664,2020-10-26,9820,9870,9630,9630,5099730,POW
665,2020-10-27,9590,9630,9450,9450,10985620,POW
666,2020-10-28,9440,9480,9220,9230,6636170,POW
667,2020-10-29,9110,9320,9090,9150,6089210,POW
668,2020-10-30,9300,9300,8920,8970,7354330,POW
669,2020-11-02,8970,9110,8970,9060,2665030,POW
670,2020-11-03,9160,9280,9110,9250,2808170,POW
671,2020-11-04,9250,9490,9220,9390,5480690,POW
672,2020-11-05,9400,9400,9310,9320,3329460,POW
673,2020-11-06,9320,9360,9270,9330,2033990,POW
674,2020-11-09,9420,9590,9400,9590,5254870,POW
675,2020-11-10,9730,9730,9530,9540,5592880,POW
676,2020-11-11,9540,9590,9430,9440,5392480,POW
677,2020-11-12,9490,9540,9470,9500,2591170,POW
678,2020-11-13,9520,9590,9500,9540,3946820,POW
679,2020-11-16,9590,9630,9160,9350,6044390,POW
680,2020-11-17,9440,9540,9400,9490,4452930,POW
681,2020-11-18,9640,9640,9540,9570,6919760,POW
682,2020-11-19,9590,9730,9560,9690,6105850,POW
683,2020-11-20,9740,9800,9700,9720,5255050,POW
684,2020-11-23,9780,9880,9750,9790,6737920,POW
685,2020-11-24,9840,9840,9680,9740,4645630,POW
686,2020-11-25,9740,9820,9680,9700,4487940,POW
687,2020-11-26,9700,9790,9640,9720,3336750,POW
688,2020-11-27,9800,10180,9800,10080,19544810,POW
689,2020-11-30,10180,10180,9930,9930,6046730,POW
690,2020-12-01,9840,10030,9740,9930,8243970,POW
691,2020-12-02,9980,10620,9930,10620,24761720,POW
692,2020-12-03,10870,11360,10820,11210,21963320,POW
693,2020-12-04,11070,11660,10920,11360,15525080,POW
694,2020-12-07,11210,11510,11210,11260,11900730,POW
695,2020-12-08,11310,11410,11020,11160,13862110,POW
696,2020-12-09,11160,11610,11120,11210,16813760,POW
697,2020-12-10,11310,11410,11070,11120,9616650,POW
698,2020-12-11,11210,11460,11120,11460,11348420,POW
699,2020-12-14,11560,11750,11460,11700,14781700,POW
700,2020-12-15,11610,11700,11410,11460,12485670,POW
701,2020-12-16,11460,11610,11360,11510,11036240,POW
702,2020-12-17,11510,12150,11460,11660,19076180,POW
703,2020-12-18,11800,11900,11700,11800,12964810,POW
704,2020-12-21,11950,12050,11700,11800,11351360,POW
705,2020-12-22,11800,12000,11610,12000,17743390,POW
706,2020-12-23,12200,12540,12150,12200,18064820,POW
707,2020-12-24,12390,12440,11460,11900,11334320,POW
708,2020-12-25,11900,12150,11660,12100,9386900,POW
