time,open,high,low,close,volume,ticker
2017-08-31,6010,6120,5940,6030,2318417,ACB
2017-09-01,6030,6080,5950,6010,709220,ACB
2017-09-05,6010,6140,6010,6090,990815,ACB
2017-09-06,6110,6110,6030,6070,626895,ACB
2017-09-07,6070,6070,5950,6010,1174302,ACB
2017-09-08,6010,5980,5840,5900,1334473,ACB
2017-09-11,5880,5910,5700,5780,2132362,ACB
2017-09-12,5780,5930,5780,5840,1235103,ACB
2017-09-13,5860,6020,5890,5960,677371,ACB
2017-09-14,5940,5950,5870,5920,1994968,ACB
2017-09-15,5920,5980,5880,5900,1606884,ACB
2017-09-18,5900,5960,5860,5920,1222983,ACB
2017-09-19,5920,5950,5820,5900,1331569,ACB
2017-09-20,5940,5950,5880,5900,882705,ACB
2017-09-21,5940,6040,5910,5960,1389322,ACB
2017-09-22,5960,6210,6020,6130,3958618,ACB
2017-09-25,6130,6460,6160,6320,3381864,ACB
2017-09-26,6360,6500,6350,6430,2766949,ACB
2017-09-27,6410,6380,6280,6320,1153295,ACB
2017-09-28,6950,6960,6310,6360,1223493,ACB
2017-09-29,6360,6500,6370,6430,920886,ACB
2017-10-02,6450,6420,6340,6380,755459,ACB
2017-10-03,6340,6430,6300,6360,1368746,ACB
2017-10-04,6360,6570,6440,6490,1937080,ACB
2017-10-05,6490,6480,6290,6410,3049742,ACB
2017-10-06,6410,6650,6460,6570,2764427,ACB
2017-10-09,6570,6780,6570,6700,3064014,ACB
2017-10-10,6510,6770,6490,6700,1666381,ACB
2017-10-11,6720,6780,6690,6720,1813951,ACB
2017-10-12,6720,6730,6640,6680,1384961,ACB
2017-10-13,6700,6870,6660,6800,1752064,ACB
2017-10-16,6800,6920,6810,6870,1321717,ACB
2017-10-17,6870,6920,6870,6890,953781,ACB
2017-10-18,6970,7000,6830,6910,2272988,ACB
2017-10-19,6910,6900,6740,6800,1941687,ACB
2017-10-20,6800,6780,6580,6660,2328487,ACB
2017-10-23,6660,6590,6380,6450,2601188,ACB
2017-10-24,5820,6640,5890,6530,2602005,ACB
2017-10-25,6550,6820,6580,6700,1101897,ACB
2017-10-26,6700,6690,6540,6620,1924655,ACB
2017-10-27,6620,6780,6630,6700,909500,ACB
2017-10-30,6740,6660,6430,6570,1998813,ACB
2017-10-31,6700,6650,6310,6430,2365341,ACB
2017-11-01,6430,6490,6410,6450,954826,ACB
